,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt
1477,2895365,2022,39,100775819,IS0053700S,252A06050000,CA,U,2010,2001,,9.00,9.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1478,2895473,2022,39,100775819,IS0053747S,NSA936507TG0804/CLEANSKYEFFAR,CC,U,2010,2001,,5.00,5.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1479,2895476,2022,39,100775819,IS0053748S,NSA936501TA1603/CLEANSKYEFFAR,CC,U,2010,2001,,16.00,16.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1480,2895409,2022,39,100775819,IS0053718H,18674002000,CA,U,2010,2001,,1.00,1.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1481,2895426,2022,39,100766029,IS0053725H,18667041200,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1482,2895440,2022,39,100775819,IS0053731H,18675043200,CA,U,2010,2001,,5.00,5.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1483,2895457,2022,39,100775819,IS0053738S,EN3155003F2020/CLEANSKYEFFAR,CC,U,2010,2001,,136.00,136.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1484,2895575,2022,39,100775819,IS0053799S,M8753613900000/A40_39VU,CC,U,2010,2001,,3.00,3.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1485,2895673,2022,39,100766029,IS0053824S,13065015,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1486,2895526,2022,39,100775819,IS0053772H,EXPANDOTCPV012,CA,M,2010,2001,,100.00,100.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1487,2895534,2022,39,100788939,IS0053773H,EXPANDOTCPV015,CA,M,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-29,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,26,2022
