,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt,percent_gap,stock_accuracy
137,706564,2022,33,100808828,IS0006295S,ABS0582V1709P,CA,U,2300,2001,,14.00,14.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
138,706581,2022,33,100808828,IS0006297S,ABS0582V1712P,CA,U,2300,2001,,5.00,5.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
139,706587,2022,33,100808828,IS0006298S,ABS0582V1720P,CA,U,2300,2001,,24.00,24.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
140,706596,2022,33,100808828,IS0006299S,ABS0582V1724P,CA,U,2300,2001,,13.00,13.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
141,706603,2022,33,100808828,IS0006300S,ABS0582V2109P,CA,U,2300,2001,,6.00,6.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
142,706620,2022,33,100808828,IS0006302S,ABS0582V2524P,CA,U,2300,2001,,19.00,19.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
143,706626,2022,33,100808828,IS0006303S,ABS058309AP,CA,U,2300,2001,,257.00,257.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
144,706634,2022,33,100808828,IS0006304S,ABS058312BP,CA,U,2300,2001,,21.00,21.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
145,706640,2022,33,100808828,IS0006305S,ABS058317AP,CA,U,2300,2001,,9.00,9.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
146,706647,2022,33,100808828,IS0006306S,ABS058321AP,CA,U,2300,2001,,5.00,5.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
